START_TASK=8 STOP_TASK=9 START_EPOCH=0 STOP_EPOCH=90
============================================================================================================
Arguments =
	all_outputs: False
	approach: joint
	batch_size: 64
	classes_first_task: None
	clipping: 10000
	crop: 224
	data_path: ../data/inat200
	dataset: inat200
	eval_on_train: False
	experiment_path: None
	fix_bn: False
	freeze_backbone: False
	gpu: 0
	gpus: [0]
	increment: 10
	last_layer_analysis: False
	log: ['disk']
	lr: 0.01
	lr_factor: None
	lr_min: 0.0001
	lr_patience: None
	lr_scheduler: cosine
	lr_warmup_epochs: 0
	momentum: 0.0
	multi_softmax: False
	nepochs: 90
	network: vit_small_patch16_224.augreg_in1k
	no_cudnn_deterministic: False
	normalize: in1k
	num_workers: 2
	optimizer_name: sgd
	pin_memory: False
	pretrained: True
	resize: 224
	results_path: ./results
	save_models: True
	seed: 0
	start_at_task: 8
	start_epoch: 0
	stop_at_task: 9
	stop_epoch: 90
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0
============================================================================================================
Approach arguments =
============================================================================================================
Exemplars arguments =
============================================================================================================
WARNING: ./results/vit_small_patch16_224.augreg_in1k/inat200/joint/10 already exists!
Loaded acc_taw from: ./results/vit_small_patch16_224.augreg_in1k/inat200/joint/10/acc_taw-7.txt
Loaded acc_tag from: ./results/vit_small_patch16_224.augreg_in1k/inat200/joint/10/acc_tag-7.txt
Loaded forg_taw from: ./results/vit_small_patch16_224.augreg_in1k/inat200/joint/10/forg_taw-7.txt
Loaded forg_tag from: ./results/vit_small_patch16_224.augreg_in1k/inat200/joint/10/forg_tag-7.txt
[joint] Loaded accumulated datasets up to task 7 from ./results/vit_small_patch16_224.augreg_in1k/inat200/joint/10/joint_progress
************************************************************************************************************
Task  8  [epochs 0-90]
************************************************************************************************************
[params] total:21,700,314  trainable:21,700,314  tensors:168  trainable_tensors:168
| Epoch   1, time=125.5s | Train: skip eval | Valid: time= 11.8s loss=1.248, TAw acc= 89.5% | * lr=1.0e-02
| Epoch   2, time=126.0s | Train: skip eval | Valid: time= 12.0s loss=1.241, TAw acc= 89.6% | * lr=1.0e-02
| Epoch   3, time=127.4s | Train: skip eval | Valid: time= 12.1s loss=1.226, TAw acc= 89.6% | * lr=1.0e-02
| Epoch   4, time=129.5s | Train: skip eval | Valid: time= 11.3s loss=1.185, TAw acc= 89.9% | * lr=1.0e-02
| Epoch   5, time=119.2s | Train: skip eval | Valid: time= 11.8s loss=1.182, TAw acc= 89.9% | * lr=9.9e-03
| Epoch   6, time=125.1s | Train: skip eval | Valid: time= 12.5s loss=1.194, TAw acc= 90.7% | lr=9.9e-03
| Epoch   7, time=126.9s | Train: skip eval | Valid: time= 12.1s loss=1.242, TAw acc= 90.4% | lr=9.9e-03
| Epoch   8, time=128.2s | Train: skip eval | Valid: time= 13.6s loss=1.194, TAw acc= 90.2% | lr=9.8e-03
| Epoch   9, time=128.9s | Train: skip eval | Valid: time= 12.3s loss=1.254, TAw acc= 89.8% | lr=9.8e-03
| Epoch  10, time=127.6s | Train: skip eval | Valid: time= 11.7s loss=1.204, TAw acc= 90.2% | lr=9.7e-03
| Epoch  11, time=125.2s | Train: skip eval | Valid: time= 11.8s loss=1.210, TAw acc= 89.8% | lr=9.6e-03
| Epoch  12, time=129.2s | Train: skip eval | Valid: time= 11.8s loss=1.233, TAw acc= 90.4% | lr=9.6e-03
| Epoch  13, time=129.9s | Train: skip eval | Valid: time= 12.2s loss=1.187, TAw acc= 90.8% | lr=9.5e-03
| Epoch  14, time=123.8s | Train: skip eval | Valid: time= 12.5s loss=1.243, TAw acc= 89.5% | lr=9.4e-03
| Epoch  15, time=125.9s | Train: skip eval | Valid: time= 12.0s loss=1.192, TAw acc= 90.7% | lr=9.3e-03
| Epoch  16, time=126.1s | Train: skip eval | Valid: time= 12.2s loss=1.299, TAw acc= 89.8% | lr=9.2e-03
